year,country,iso,ifs,pop,rgdpmad,rgdppc,rconpc,gdp,iy,cpi,ca,imports,exports,narrowm,money,stir,ltrate,stocks,debtgdp,revenue,expenditure,xrusd,crisisJST,tloans,tmort,thh,tbus,hpnom
1870,Norway,NOR,142,1735,1360.14,4.8730513,7.99,542,0.121771218,2.522934448,15,103,81,38.93262,163.7876,4.99,5.39,,,20.2,19.8,3.210066667,0,159.107,68.1196,,,1.245468415
1871,Norway,NOR,142,1745,1376.09,4.932082564,8.08,562,0.12455516,2.548184321,17,102,81,43.345,182.8611,4.31,4.99,,,20.8,22,3.276226667,0,170.622,69.9506,,,1.307615862
1872,Norway,NOR,142,1755,1457.36,5.223446943,8.37,640,0.15,2.705451511,17,137,105,49.31408,205.5049,3.95,4.63,,,22.1,21.2,3.318846667,0,185.194,71.8308,,,1.468303403
1873,Norway,NOR,142,1767,1481.61,5.309534202,8.73,729,0.16872428,2.817134008,11,167,121,55.59187,229.7271,4.33,4.71,,,24.5,22.3,3.25742,0,203.509,72.8463,,,1.223072939
1874,Norway,NOR,142,1783,1523.75,5.458342179,9.11,790,0.183544304,2.963005024,-8,186,121,57.94587,233.4305,4.93,4.59,,,26.9,31.2,3.36405,0,228.033,73.1533,,,1.784639503
1875,Norway,NOR,142,1803,1551.22,5.554370467,9.35,771,0.181582361,2.906024158,-27,177,103,51.99604,235.0754,5.89,4.62,,,27.7,37.7,3.239580833,0,238.755,73.116,,,1.83306972
1876,Norway,NOR,142,1829,1572.45,5.64691427,9.33,799,0.170212766,2.826250946,4,167,118,50.59717,241.8247,5.76,4.74,,,28.4,43.8,3.35608,0,253.287,77.6255,,,2.013073359
1877,Norway,NOR,142,1852,1564.75,5.619858275,9.65,797,0.1706399,2.849043292,-30,190,109,51.05292,238.5173,5.99,4.78,,,30.7,50.1,3.5854,0,261.843,81.5126,,,1.989558109
1878,Norway,NOR,142,1877,1489.82,5.346223772,9.08,706,0.157223796,2.712289214,-1,140,92,46.23758,237.5984,6.29,4.83,,,16.6,25.5,3.73008,0,264.038,84.1515,,,2.158084067
1879,Norway,NOR,142,1902,1483.25,5.321524927,8.92,662,0.148036254,2.541346617,3,132,89,46.56575,249.2959,5.49,4.6,,,28,48.6,3.73272,0,265.84,86.0147,,,1.880660107
1880,Norway,NOR,142,1919,1517.29,5.444916666,8.94,720,0.147222222,2.634795237,8,151,109,52.45842,264.7555,4.57,4.32,,0.1577,34,44.2,3.739968,0,285.207,98.7229,,,1.77064233
1881,Norway,NOR,142,1923,1528.4,5.485193205,9.14,739,0.146143437,2.639353706,2,165,121,50.61542,279.6985,4.42,4.1,,0.1554,35.2,44.4,3.7674,0,302.168,113.3875,,,1.861064065
1882,Norway,NOR,142,1920,1527.94,5.484065872,9.11,760,0.15,2.648470645,20,160,123,50.45233,295.217,4.83,4.1,,0.1497,39.4,46,3.722089,0,317.684,121.5789,,,1.925171115
1883,Norway,NOR,142,1919,1523.01,5.464798723,9.34,750,0.150666667,2.671262991,4,161,116,50.90858,304.025,4.56,4.11,,0.1492,42.7,43.3,3.740468,0,328.969,128.2189,,,1.877860672
1884,Norway,NOR,142,1929,1542.13,5.534488409,9.38,721,0.147018031,2.568697432,4,159,112,52.59308,308.5075,4.55,4.07,,0.1574,40.5,42.2,3.75538,0,343.289,134.1993,,,1.710734432
1885,Norway,NOR,142,1944,1544.34,5.54299465,9.4,679,0.142857143,2.45929417,0,146,102,48.96608,309.8285,4.52,3.99,,0.1666,44.6,41.2,3.741203,0,351.129,139.5994,,,1.948686365
1886,Norway,NOR,142,1958,1541.74,5.532336228,9.24,667,0.137931034,2.361287081,8,135,103,49.51142,312.128,4.6,3.87,,0.1747,43.5,42.5,3.729341,0,346.676,144.1361,,,1.773441765
1887,Norway,NOR,142,1970,1551.82,5.570255616,9.15,659,0.142640364,2.308864684,15,134,107,52.44325,321.5975,4.27,3.77,,0.1751,43,43.2,3.736593,0,349,154.0009,,,1.887658693
1888,Norway,NOR,142,1977,1618.52,5.810992487,9.61,710,0.146478873,2.327098561,18,158,122,56.40425,341.4925,3.67,3.58,,0.1778,44.4,45.2,3.732354,0,357.235,165.5052,,,1.81767283
1889,Norway,NOR,142,1984,1675.06,6.012682638,10,770,0.163636364,2.361287081,14,192,133,60.95958,358.7465,3.55,3.45,,0.1616,44.8,43.6,3.72801,0,374.579,168.7501,,,1.779040634
1890,Norway,NOR,142,1997,1709.49,6.138226557,10.28,780,0.178205128,2.3954756,-9,209,131,62.29642,361.2375,3.72,3.45,,0.1619,50.3,45.5,3.739626,0,394.375,166.8735,,,1.911453886
1891,Norway,NOR,142,2013,1712.28,6.149704859,10.46,802,0.172069825,2.509437332,-33,223,130,60.04125,364.4895,4.98,3.58,,0.1681,51.4,52.9,3.731398,0,407.153,165.5818,,,2.065982672
